T=8
Validation (%),Test (%)
87.08,87.25
87,87.3
87.98,87.89
87.47,86.87
88.41,88.06
88.01,87.99
87.98,87.95
87.54,87.38
87.8,87.88
88.35,88.27
88.02,88.25
88.47,88.2
88.22,88.32
87.82,88.06
88.23,87.74
88.18,88.39
88.43,88.59
88.05,87.2
88.64,88.46
87.91,87.75
88.15,88.41
87.94,87.89
88.23,88.06
87.2,86.98
87.6,87.49
88.15,87.98
87.53,87.7
88.21,87.97
88.21,87.78
87.51,87.64
88.79,88.92
87.56,87.72
88.28,87.97
88.1,88.3
87.67,88.02
88.25,87.67
87.73,87.67
87.6,87.92
87.7,87.73
87.87,87.83
88.61,88.41
88.85,88.98
88.33,88.34
87.86,87.76
87.68,87.47
88.24,88.14
87.51,87.28
87.91,87.67
87.5,87.73
88.25,87.84
88.14,87.8
87.98,87.77
88.5,88.49
88.2,88.04
86.87,87.24
87.53,87.5
87.3,87.23
88.42,87.72
87.97,88.38
88.03,87.79
87.68,87.49
87.79,87.58
88.1,87.79
87.56,86.97
88.84,88.76
88.29,88.48
88.2,88.14
88.71,88.56
87.64,87.93
88.48,88
87.29,87.69
87.29,87.25
87.3,87.37
88.52,88.17
87.97,88.1
88.26,88.36
88.29,87.82
87.47,87.7
87.92,88.37
88.3,88.4
87.91,87.21
88.53,88.24
87.91,87.94
87.78,88.5
87.97,88.13
87.41,87.15
87.7,87.5
88.45,88.24
88.09,88.05
88.55,88.08
88.17,88.22
87.96,87.83
87.98,87.89
87.85,88
88.57,87.98
88.14,87.81
87.75,87.95
88.29,87.86
87.98,88.22
88.28,88.35
87.93,87.75
87.81,87.93
88.14,87.38
87.64,88
88.52,88.19
88.67,88.07
88.13,87.79
87.48,87.54
88.02,88.31
88.15,87.78
87.94,87.24
87.76,87.9
88.3,88.48
88.58,87.92
88.08,87.7
87.57,87.66
87.42,87.65
87.6,87.64
88.19,88.23
87.91,87.96
88.11,87.69
87.87,88.03
88.17,87.98
87.3,87.25
87.78,87.59
88.44,88.33
88.45,88.54
89.03,88.89
88.47,88.27
87.39,87.24
88.12,87.91
88.3,88.39
88.25,88.18
88.15,88.23
88.62,88.43
88.57,88.58
88.71,88.49
88.07,87.77
88.02,87.57
88.61,88.59
88.61,88.46
87.7,87.91
87.87,87.86
87.83,87.69
88.2,88.38
87.97,87.42
88.84,88.36
88.3,88.69
88.44,87.88
87.71,87.51
88.1,87.73
87.5,87.22
88.74,88.56
88.37,88.21
88.25,88.19
88.25,88.39
87.81,88.02
87.66,87.89
88.57,88.2
87.76,87.73
87.74,87.2
88.75,88.35
88.14,88.19
87.66,87.82
88.48,88.22
88.15,87.96
87.47,87.52
88.13,88.11
88.03,88.12
87.64,87.74
87.57,87.33
88.76,88.56
88.66,88.13
87.87,87.79
88.01,87.43
87.92,87.88
88.23,88.07
88.05,87.39
88.34,87.86
88.4,88.14
88.67,88.25
88.4,88.15
88.2,88.26
88.49,89.15
87.44,87.56
88.28,88.23
88.5,88.26
88.42,88.8
88.48,88.09
88.28,88.24
88.4,87.98
88,87.92
88.36,88.22
88.09,88.78
87.89,87.74
88.61,88.32
88.24,88.6
87.92,88.05
86.79,86.44
87.75,87.53
